carrier,tech,year,invc,lifetime,fom,efficiency
wind,onshore,2050,1075,25,3.5,1
wind,offshore,2050,2093,25,8,1
solar,pv,2050,425,25,2.5,1
solar,csp,2050,1520,30,3,1
bio,biomass,2050,1951,30,10,0.487
geo,geothermal,2050,2740,30,8,0.249
hydro,phs,2050,2000,50,2,0.75
hydro,reservoir,2050,2000,50,2,0.9
hydro,ror,2050,3000,50,6,0.9
gas,ccgt,2050,800,30,2,0.619
gas,ocgt,2050,400,30,2,0.396
oil,ocgt,2050,400,30,6,0.396
coal,stsc,2050,1300,40,2.5,0.45
